Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c1d8ce4d7c327643d3567c284a418198071b7ac2dfba2e5b25f96279308dde1e,2023-03,Dorset Police,Dorset Police,-2.440014,50.708767,On or near Maumbury Square,E01032645,West Dorset 009I,Investigation complete; no suspect identified
bd6cebf137377d4d2ad63599f9574d748de1292dfc22d130cb31e1fd7bb8c111,2023-03,Dorset Police,Dorset Police,-1.979299,50.718222,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
31c570bd313f4cbc61a39e23e33d2fee4f010d7a657de426c1e4a17c7980e5e8,2023-03,Dorset Police,Dorset Police,-1.925817,50.739224,On or near Arne Avenue,E01015384,Poole 007E,Investigation complete; no suspect identified
69b182afd7d332e72d5314daa8e0a0d0e673397884efacabf075749b5bcf8d20,2023-03,Dorset Police,Dorset Police,-1.843188,50.724907,On or near Adeline Road,E01015279,Bournemouth 019B,Investigation complete; no suspect identified
75e0feeb319e32e1449ab5222dbf91f565fd33084b21f6b7a6c40bcc1fed3c9e,2023-03,Dorset Police,Dorset Police,-2.538290,50.712421,On or near ,E01020549,West Dorset 011D,Investigation complete; no suspect identified
8f0b7fb03c2ab0715dba401db3b2d86fb7b898aaf7bb73adb30a23f8e02ec666,2023-03,Dorset Police,Dorset Police,-1.808035,50.722543,On or near Clifton Road,E01015297,Bournemouth 018B,Investigation complete; no suspect identified
4dd5ba58def9b77bd2f3c90c8bb03ed35627a9d118686a5409702155860ba580,2023-03,Dorset Police,Dorset Police,-1.862698,50.874846,On or near Lombardy Close,E01020418,East Dorset 002C,Investigation complete; no suspect identified
d4c8ea4ce2efb0e291414d01ba6f089b816ddc58731caeb045c843b7892d5ce2,2023-03,Dorset Police,Dorset Police,-2.439963,50.556554,On or near ,E01020563,Weymouth and Portland 008A,Investigation complete; no suspect identified
d90c7c3486125c976f177a063fec8a3a02fbc3d4af0a7f02122eccad3c7fb160,2023-03,Dorset Police,Dorset Police,-1.865228,50.726499,On or near ,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
60da68a4b0c66347498360acb2ea0cbe2f0d6dca8206d02c10f3cfd75cdd6b07,2023-03,Dorset Police,Dorset Police,-2.452652,50.647586,On or near Canberra Crescent,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
323afd14116dce53d7b0b7288b4d6b172eb595c9475d8aeb108fc311f943d143,2023-03,Dorset Police,Dorset Police,-1.882880,50.721185,On or near Avenue Road,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
6274b8e10a5362a946682c72fd5c9f4ed9d75067d8ca7cc021a85664990539e4,2023-03,Dorset Police,Dorset Police,-1.982865,50.716791,On or near North Street,E01032659,Poole 015F,Investigation complete; no suspect identified
9c90d3f9fc997a8ecb738f123df168e0c3c523947150cb4adb065b105030bdea,2023-03,Dorset Police,Dorset Police,-1.947085,50.729424,On or near ,E01015454,Poole 017C,Investigation complete; no suspect identified
11a5aa7d78bc90f25407ca1eecd2d8bee02bbff3832c158d787bf1e9359b7103,2023-03,Dorset Police,Dorset Police,-2.190405,51.002121,On or near Hawkesdene Lane,E01020457,North Dorset 003D,Investigation complete; no suspect identified
f464b2bc0e97da47a268b8b8d771240454a0b23a10e3dbf6d28bf1cd4a31e54e,2023-03,Dorset Police,Dorset Police,-1.980907,50.795360,On or near Allen Road,E01020429,East Dorset 010D,Investigation complete; no suspect identified
0a8be438ac2d7391cae4c129a50d95509698d3af1aa19eefbaeacf1465992083,2023-03,Dorset Police,Dorset Police,-1.993046,50.738986,On or near Kennart Road,E01015421,Poole 006E,Investigation complete; no suspect identified
017e126c38b6f80532d9cf760e63adb16a0a9dc99ce7b2fd0471c6d12437f544,2023-03,Dorset Police,Dorset Police,-1.880038,50.741056,On or near Leslie Road,E01015374,Bournemouth 009C,Investigation complete; no suspect identified
2e1e69072d21786cc52bc0d9ba0f59c6963d59515c6bf09e6585a0a95f7a4433,2023-03,Dorset Police,Dorset Police,-2.088922,50.898525,On or near South Farm Close,E01020442,North Dorset 006A,Investigation complete; no suspect identified
3ca836a8ce7286d4390b053b31eaab12f2a93e5c5fda66920a20d44f8d934d60,2023-03,Dorset Police,Dorset Police,-1.926244,50.728892,On or near Douglas Gardens,E01015390,Poole 010A,Investigation complete; no suspect identified
fc0b7da7f6755b22e98c6ee5dcf1c484980c552681f0a169fe0e0375aea757df,2023-03,Dorset Police,Dorset Police,-2.461942,50.612702,On or near Holland Road,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
895ee6b24539b74c04d18b9afe66f32425d0f2ac524c877bfc0baf8d5aa7f9a9,2023-03,Dorset Police,Dorset Police,-2.039657,50.740014,On or near Oakley Gardens,E01020474,Purbeck 002D,Investigation complete; no suspect identified
fb49e0b208d7380d54dc9c2b2571c9e39d43ed090af61348d5a94fac51710b52,2023-03,Dorset Police,Dorset Police,-1.868720,50.815485,On or near ,E01020425,East Dorset 006E,Investigation complete; no suspect identified
